Fabrication Temperature ,Overall Interphase thickness,Fiber Density,Number of Fibers per Tow,Fiber Volume Fractions,Fiber Radius,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Matrix Volume Fraction,Tensile Testing Temperature,Tensile Strength 
1000,35,2.884,500,0.446,6,,0.69,900,950
1000,100,2.884,500,0.66,6.5,354,0.34,20,1200
1060,450,2.252,400,0.27,,195,0.73,,664.76
1400,3500,2.9,,0.27,,171,,,310.798
1000,100,2.884,500,0.58,6.5,,0.3,,796.8
1000,150,2.252,,0.46,6.5,319,0.54,,1061
1000,150,2.252,,0.46,7.5,319,0.54,,898
1000,1400,2.884,500,0.218,7.7,165,0.728,20,498
1000,1400,2.884,500,0.218,7.7,165,0.728,800,436
1000,400,2.884,500,0.16,,,,20,317
1000,400,2.884,500,0.16,,,,700,1099
1000,400,2.884,500,0.16,,,,950,655
1000,400,2.884,500,0.16,,,,1200,439
1000,3000,2.9,500,0.22,,,,20,317
1000,3000,2.9,500,0.22,,,,700,996
1000,3000,2.9,500,0.22,,,,950,1019
1000,3000,2.9,500,0.22,,,,1200,385
1000,150,2.95,500,0.46,6.5,319,,,900
1000,150,2.95,500,0.46,6.5,319,,,1030
1000,150,3.01,800,0.43,5,312,,,680
1000,150,3.01,800,0.43,5,312,,,730
94,1000,2.74,500,0.258,7,270,1,20,644
94,1000,2.74,500,0.16,7,270,1,20,313.94
94,1000,2.74,500,0.17,7,270,1,20,427.88
94,1000,2.74,500,0.19,7,270,1,20,466.67
94,1000,2.74,500,0.22,7,270,1,20,607.27
94,1000,2.74,500,0.23,7,270,1,20,527.27
94,1000,2.74,500,0.24,7,270,1,20,272.73
94,1000,2.74,500,0.28,7,270,1,20,456.97
94,1000,2.74,500,0.26,7,270,1,20,643.64
94,1000,2.74,500,0.41,7,270,1,20,762.42
94,1000,2.74,500,0.43,7,270,1,20,677.58
94,1000,2.74,500,0.43,7,270,1,20,590.3
94,1000,2.74,500,0.43,7,270,1,20,602.42
94,1000,3.1,500,0.228,6,400,1,20,490
94,1000,3.1,500,0.11,6,400,1,20,253.33
94,1000,3.1,500,0.16,6,400,1,20,292.12
94,1000,3.1,500,0.18,6,400,1,20,282.42
94,1000,3.1,500,0.22,6,400,1,20,275.15
94,1000,3.1,500,0.23,6,400,1,20,488.48
94,1000,3.1,500,0.18,6,400,1,20,534.55
94,1000,3.1,500,0.24,6,400,1,20,774.55
94,1000,3.1,500,0.24,6,400,1,20,706.67
94,1000,3.1,500,0.25,6,400,1,20,711.52
94,1000,3.1,500,0.26,6,400,1,20,682.42
94,1000,3.1,500,0.35,6,400,1,20,806.06
94,1000,3.1,500,0.39,6,400,1,20,1048.48
94,1000,3.1,500,0.38,6,400,1,20,1123.64
94,1000,3.1,500,0.4,6,400,1,20,1215.76
94,1000,2.35,400,0.275,5.5,170,1,20,220
94,1000,2.35,400,0.24,5.5,170,1,20,459.39
94,1000,2.35,400,0.23,5.5,170,1,20,469.09
94,,2.35,400,0.17,,,1,,
94,1000,2.35,400,0.28,5.5,170,1,20,503.03
1100,3500,2.9,,0.45,6.15,280,0.55,20,329.91
1100,3500,2.9,,0.45,6.27,280,0.55,20,365.25
1100,3500,2.9,,0.45,6,280,0.55,20,310.02
1100,3500,2.9,,0.45,6.17,280,0.55,20,283.01
1100,3500,2.9,,0.45,6,280,0.55,20,265.8
1100,3500,2.9,,0.45,6.11,280,0.55,20,205.73
1000,1900,3.1,,0.34,,,0.41,20,1050
1000,300,3.1,,0.23,,,0.75,20,690
1200,400,,500,0.23,6,140,0.77,20,
1200,400,,500,0.23,6,140,0.77,20,148
1200,400,,500,0.23,6,140,0.77,20,177
1200,400,,500,0.23,6,140,0.77,20,213
1200,400,,500,0.23,6,120,,20,
1200,400,,500,0.33,,,,20,185
1200,400,,500,0.33,,,,20,217
1200,400,,500,0.33,,,,20,229
1200,400,,500,0.2,,170,,20,
1200,400,,500,0.33,,,,20,447
1200,400,,500,0.33,,,,20,454
1200,400,,500,0.33,,,,20,484
1000,,,500,0.315,,,0.61,20,
1000,,,500,0.16,,,0.7,20,
1100,,,1000,0.325,6.5,141,0.675,,570
900,,,,0.33,,,,,
1100,0,2.34,500,0.6118,6,185,,,454
1100,1000,2.29,500,0.45,6,185,,,609.4
1100,2000,2.25,500,0.45,6,185,,,620.3
1100,2300,2.29,500,0.45,6,185,,,630.9
1000,,2.55,,0.42,7,200,0.58,,
1000,600,2.9,,0.185,6.5,380,,,750
1000,600,2.9,,0.195,6.5,380,,,820
1000,600,2.9,,0.185,6.5,380,,,825
1000,150,2.98,500,0.46,6.5,372,,20,870
1000,150,3.1,1600,0.43,3.5,387,,20,855
1000,150,2.98,500,0.46,6.5,372,,20,980
1000,150,3.1,1600,0.43,3.5,387,,20,600
1000,150,2.98,500,0.44,6.5,372,,20,880
1000,30,2.98,500,0.4,6.5,372,,20,830
1000,200,,3000,0.3,3.5,,0.7,,350
1100,650,1.76,3000,0.661,3.5,230,0.329,,502.7
1100,650,1.78,3000,0.673,3.5,230,0.327,,371.4
1100,650,1.76,6000,0.805,3.5,230,0.195,,490.7
1300,150,,,0.45,,,0.55,,485.6
1300,150,,,0.45,,,0.55,,502.6
1300,150,,,0.45,,,0.55,,507.8
1300,150,,,0.45,,,0.55,,494.7
1050,500,,,0.1,7,200,0.9,,310
1400,750,,,0.16,6.5,280,0.84,,440
1400,450,,,0.16,4.5,380,0.84,,450
1000,,,500,0.35,,,0.65,,
1000,,,500,0.46,,,0.54,,
1000,,,500,0.54,,,0.46,,
1000,,,500,0.5,,,0.5,,
