Fabrication Temperature ,Fabrication Time,Fiber Density,Overall Interphase thickness,Fiber Volume Fractions,Fiber Radius,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Number of Fibers per Tow,Matrix Volume Fraction,Tensile Strength ,Tensile Testing Temperature
1000,,2.884,35,0.446,6,,500,0.69,950,900
1000,,2.884,100,0.66,6.5,354,500,0.34,1200,20
1060,,2.252,450,0.27,,195,400,0.73,664.76,
1400,,2.9,3500,0.27,,171,,,310.798,
1000,,2.884,100,0.58,6.5,,500,0.3,796.8,
1000,,2.252,150,0.46,6.5,319,,0.54,1061,
1000,,2.252,150,0.46,7.5,319,,0.54,898,
1100,,2.884,1400,0.218,7.7,165,500,0.728,498,20
1100,,2.884,1400,0.218,7.7,165,500,0.728,436,800
1100,12,2.884,1400,0.16,,,500,,317,20
1100,12,2.884,1499,0.16,,,500,,1099,700
700,12,2.884,400,0.16,,,500,,655,950
700,12,2.884,400,0.16,,,500,,439,1200
700,12,2.9,400,0.22,,,500,,317,20
700,12,2.9,400,0.22,,,500,,996,700
700,12,2.9,3000,0.22,,,500,,1019,950
700,12,2.9,3000,0.22,,,500,,385,1200
700,,2.95,3000,0.46,6.5,319,500,,900,
700,,2.95,3000,0.46,6.5,319,500,,1030,
1000,,3.01,150,0.43,5,312,500,,680,
1000,,3.01,150,0.43,5,312,500,,730,
1000,32,2.74,150,0.258,7,270,800,1,644,20
1000,32,2.74,150,0.16,7,270,800,1,313.94,20
94,32,2.74,1000,0.17,7,270,500,1,427.88,20
94,32,2.74,1000,0.19,7,270,500,1,466.67,20
94,32,2.74,1000,0.22,7,270,500,1,607.27,20
94,32,2.74,1000,0.23,7,270,500,1,527.27,20
94,32,2.74,1000,0.24,7,270,500,1,272.73,20
94,32,2.74,1000,0.28,7,270,500,1,456.97,20
94,32,2.74,1000,0.26,7,270,500,1,643.64,20
94,32,2.74,1000,0.41,7,270,500,1,762.42,20
94,32,2.74,1000,0.43,7,270,500,1,677.58,20
94,32,2.74,1000,0.43,7,270,500,1,590.3,20
94,32,2.74,1000,0.43,7,270,500,1,602.42,20
94,32,3.1,1000,0.228,6,400,500,1,490,20
94,32,3.1,1000,0.11,6,400,500,1,253.33,20
94,32,3.1,1000,0.16,6,400,500,1,292.12,20
94,32,3.1,1000,0.18,6,400,500,1,282.42,20
94,32,3.1,1000,0.22,6,400,500,1,275.15,20
94,32,3.1,1000,0.23,6,400,500,1,488.48,20
94,32,3.1,1000,0.18,6,400,500,1,534.55,20
94,32,3.1,1000,0.24,6,400,500,1,774.55,20
94,32,3.1,1000,0.24,6,400,500,1,706.67,20
94,32,3.1,1000,0.25,6,400,500,1,711.52,20
94,32,3.1,1000,0.26,6,400,500,1,682.42,20
94,32,3.1,1000,0.35,6,400,500,1,806.06,20
94,32,3.1,1000,0.39,6,400,500,1,1048.48,20
94,32,3.1,1000,0.38,6,400,500,1,1123.64,20
94,32,3.1,1000,0.4,6,400,500,1,1215.76,20
94,32,2.35,1000,0.275,5.5,170,500,1,220,20
94,32,2.35,1000,0.24,5.5,170,500,1,459.39,20
94,32,2.35,1000,0.23,5.5,170,400,1,469.09,20
94,,2.35,1000,0.17,,,400,1,,
94,32,2.35,1000,0.28,5.5,170,400,1,503.03,20
94,,2.9,1000,0.45,6.15,280,400,0.55,329.91,20
94,,2.9,1000,0.45,6.27,280,400,0.55,365.25,20
1100,,2.9,3500,0.45,6,280,,0.55,310.02,20
1100,,2.9,3500,0.45,6.17,280,,0.55,283.01,20
1100,,2.9,3500,0.45,6,280,,0.55,265.8,20
1100,,2.9,3500,0.45,6.11,280,,0.55,205.73,20
1100,32,3.1,3500,0.34,,,,0.41,1050,20
1100,32,3.1,3500,0.23,,,,0.75,690,20
94,,,1900,0.23,6,140,,0.77,,20
94,,,300,0.23,6,140,,0.77,148,20
1200,,,400,0.23,6,140,500,0.77,177,20
1200,,,400,0.23,6,140,500,0.77,213,20
1200,,,400,0.23,6,120,500,,,20
1200,,,400,0.23,,,500,,185,20
1200,,,400,0.23,,,500,,217,20
1200,,,400,0.23,,,500,,229,20
1200,,,400,0.23,,170,500,,,20
1200,,,400,0.23,,,500,,447,20
1200,,,400,0.23,,,500,,454,20
1200,,,400,0.23,,,500,,484,20
1200,,,400,0.315,,,500,0.61,,20
1200,,,400,0.16,,,500,0.7,,20
1100,500,,400,0.325,6.5,141,500,0.675,570,
1100,8,,400,0.33,,,500,,,
1100,4,2.34,400,0.6118,6,185,1000,,454,
900,4,2.29,400,0.45,6,185,,,609.4,
1100,4,2.25,0,0.45,6,185,500,,620.3,
1100,4,2.29,1000,0.45,6,185,500,,630.9,
1100,,2.55,2000,0.42,7,200,500,0.58,,
1100,,2.9,2300,0.185,6.5,380,500,,750,
1100,,2.9,400,0.195,6.5,380,,,820,
1100,,2.9,600,0.185,6.5,380,,,825,
1100,,2.98,600,0.46,6.5,372,,,870,20
1100,,3.1,600,0.43,3.5,387,,,855,20
1000,,2.98,150,0.46,6.5,372,500,,980,20
1000,,3.1,150,0.43,3.5,387,1600,,600,20
1000,,2.98,150,0.44,6.5,372,500,,880,20
1000,,2.98,150,0.4,6.5,372,1600,,830,20
1000,80,,150,0.3,3.5,,500,0.7,350,
1000,40,1.76,30,0.661,3.5,230,500,0.329,502.7,
1000,40,1.78,200,0.673,3.5,230,3000,0.327,371.4,
1100,40,1.76,650,0.805,3.5,230,3000,0.195,490.7,
1100,2,,650,0.45,,,3000,0.55,485.6,
1100,2,,650,0.45,,,6000,0.55,502.6,
1300,2,,150,0.45,,,,0.55,507.8,
1300,2,,150,0.45,,,,0.55,494.7,
1300,,,150,0.1,7,200,,0.9,310,
1300,,,150,0.16,6.5,280,,0.84,440,
1050,,,500,0.16,4.5,380,,0.84,450,
1400,7,,750,0.35,,,,0.65,,
1400,7,,450,0.46,,,,0.54,,
950,7,,650,0.54,,,500,0.46,,
950,7,,650,0.5,,,500,0.5,,
950,,,650,,,,500,,,
950,,,650,,,,500,,,
