/,Components and Methods,,,,,,,,,,,,,,,,,,,,,,,Properties of Interfaces,,,,Physical Properties of Matrix,,,,,,,,,,,,Properties of Reinforcement/Fiber,,,,,,,,,,,,,,Tensile Testing,,,,,,,,,,,
Serial Number !,Matrix ,Reinforcement,Fiber Manufacturer,Fiber Type,Interphase-1,PyC,SiC,BN,Interphase-1 Thickness,Interphase Layers,Interphase-2,Interphase-2 Thickness,,Interface Texture,Coating,Infiltration Method,Method of Fabrication(2),Fabrication Temperature ,Fabrication Time,Gas Precursor,Oxidation Temperature,Oxidation Environment,Oxidation Time,Overall Interphase thickness,Interface Shear Stress,Interface debounds Energy,Irradiation,Volume Fraction,Matrix Density,Residual Porosity,coefficient of thermal expansion,Section ,Number,Young Modulus,Weibull modulus,Deformation at onset of Matrix Cracking,Force at onset of Matrix cracking,Matrix Crack Spacing,Scale Factor,Fiber Density,Mean Fiber pull-out,Fiber's coefficient of thermal expansion,Fiber Volume Fractions,Section,Number of Fibers per Tow,Fiber Radius,Weibull parameters,Cricital fractions of individual fiber breaks,Tensile Strength,Fiber Tensile Modulus or Young modulus or Tensile Modulus,Strain to Failure,Fiber Residual Strength,Scale Factor,Tensile Strength ,Tensile Young's Modulus,Tensile Fracture Strain,Tensile Testing Temperature,Critical Broken Fiber's Fraction,Forces at Ultimate Fracture,Creep compliances,Residual Modulus,Change in Weight Ratio,Literature Link,Checked by,comments
Symbol->,,,,,,,,,,,,,,,,,,,,,,,,,sigma_i,Lambda_i,,Vm{1-Vf},,,alpha_m,,,Em,m,,,L,,,L,10^-6/C,Vf,,,Rf,mf,,sigma_fu,Ef,,,,,,,,,,,,,,,
Unit->,,,,,,,,, µm,,, µm,,,,,,C,h,,,,,nm,MPa,J/m^2,,1,g/cm3,%,10^-6/C,mm^2,,GPa,,%,N,mm,MPa,g/cm^3, µm,alpha_f,%,mm2,, µm,,%,GPa,GPa,%,GPA,Mpa,MPA,GPA,%,C,,,dpa-1. Mpa-1,%,,,,
4,SiC,SiC,Nippon Carbon,Hi-Nicalon Type S ,PyC,1,0,0,0.035,Single,,,,,,CVI,,1000,,Propane,,,,35,,,Helium,0.69,,,,,,,,,400 MPa,,,2.884,,,0.446,,500,6,,,,,,,,950,,0.2,900,,,,,,https://doi.org/10.1016/j.jnucmat.2020.152086,AH,Note: this was tensile tested @900C under He irradiation
5,SiC,SiC,Nicalon,Hi-Nicalon Type S - AH,PyC,1,0,0,0.1,Single,,,,,,CVI,,1000,,,,,,100,2.5,,,0.34,,0.12,,0.033,,404,4.6,,,0.315 ±  .070,278,2.884,560 ± 100,,0.66,0.097,500,6.5,6.3,5 fiber failures/mm,,354,.7 ± .07,,1217,1200,350,0.7,Room Temperature,5 breaks/mm,70,,,,https://doi.org/10.1016/j.jmps.2013.09.001,AH,"other things to consider: m.c. saturation, displacement rate"
6,SiC,SiC,Nicalon,,,0,0,1,,,,,,,,CVI,,1060,,,,,,450,9.5,0.53,,0.73,,,,,,176,,,,,,2.252,,,0.27,,400,,5.2 ± 0.55,,1.66 ± 0.12,195,,,,664.76,195,1.2,,,,,,,https://doi.org/10.1016/j.jmps.2020.103903,KD,"this citation needs checked.  paper only has Tyranno ZMI minis, don't want to delete anything if it is just missing the proper reference"
,SiC,SiC,Tyranno ,ZMI,BN,0,0,1,,,,,,,,CVI,,1400 (BN coating),,,,,,3500,9.5,0.53,,,,,,,,176,,,,,,2.9,,,0.27,,,,4.2 ± 0.44,,1.14 ± 0.10,171+-7,,,,310.798,176,0.8,,,,,,,,,
7,SiC,SiC,Nicalon,Hi-Nicalon Type S,PyC,1,0,0,0.1,,,,,,,CVI,,1000,,,,,,100,,,,0.3,,0.12,,,,,,,,,,2.884,,,0.58,,500,6.5,,,,,,,,796.8,,,,,,,,,https://doi.org/10.1016/j.compscitech.2011.02.008,KD,
10,SiC,SiC ,Hi-Nicalon S Type-1,,PyC,1,0,0,0.15,,,,,,,CVI,,1000,,,,,,150,12,2,,0.54,,,,,,450,10,,,,,2.252,,,0.46,,,6.5,5,,,319,,,,1061,,0.61,,,,,,,https://doi.org/10.1016/j.ceramint.2021.05.079,KD,"weibull modulus in matrix?  this paper is citing another paper for these mech properties, other one should be cited"
,SiC,SiC,Hi-Nicalon S Type-2,,PyC,1,0,0,0.15,,,,,,,CVI,,1000,,,,,,150,16,2,,0.54,,,,,,450,10,,,,,2.252,,,0.46,,,7.5,5,,,319,,,,898,,0.54,,,,,,,,,
11,SiC,SiC,Fujian Leadasia New Material Co.,Cansas 3203,PyC,1,0,0,1.4,,,,,,,CVI,,1100,10,,,,,1400,,,,0.728,,,4.6,,,134,,,,0.371,,2.884,,3.1,0.218,,500,7.7,,,,165,,,,496,,0.008,Room Temperature,,,,,,https://doi.org/10.1016/j.ceramint.2021.07.134 ,KD,
,SiC,SiC,Fujian Leadasia New Material Co.,Cansas 3203,PyC,1,0,0,1.4,,,,,,,CVI,,1100,10,,,,,1400,,,,0.728,,,4.6,,,134,,,,0.371,,2.884,,3.1,0.218,,500,7.7,,,,165,,,,422,,0.007,800,,,,,,,,
,SiC,SiC,Fujian Leadasia New Material Co.,Cansas 3203,PyC,1,0,0,1.4,,,,,,,CVI,,1100,10,,,,,1400,,,,0.728,,,4.6,,,134,,,,0.371,,2.884,,3.1,0.218,,500,7.7,,,,165,,,,500,,0.008,Room Temperature,,,,,,,,
,SiC,SiC,Fujian Leadasia New Material Co.,Cansas 3203,PyC,1,0,0,1.4,,,,,,,CVI,,1100,10,,,,,1499,,,,0.728,,,4.6,,,145,,,,0.371,,2.884,,3.1,0.218,,500,7.7,,,,165,,,,450,,0.007,800,,,,,,,,
12,SiC,SiC,Hi-Nicalon,,PyC,1,0,0,0.4,,,,,,Carbon-coated,CVI,,700,12,,,,,400,,,,,,,,,,,,,,,,2.884,,,0.16,,500,,,,,,,,,317,,,Room Temperature,,,,,,https://doi.org/10.1016/S0955-2219(00)00138-2,KD,"this wasn't fast fracture tensile testing, but instead stress-rupture testing"
,SiC,SiC,Hi-Nicalon,,PyC ,1,0,0,0.4,,,,,,Carbon-coated,CVI,,700,12,,,,,400,,,,,,,,,,,,,,,,2.884,,,0.16,,500,,,,,,,,,1099,,,700,,,,,,,,this data doesn't make sense to compare because these are NOT pure
,SiC,SiC,Hi-Nicalon,,PyC,1,0,0,0.4,,,,,,Carbon-coated,CVI,,700,12,,,,,400,,,,,,,,,,,,,,,,2.884,,,0.16,,500,,,,,,,,,655,,,950,,,,,,,,tensile properties of the composite
,SiC,SiC,Hi-Nicalon,,PyC ,1,0,0,0.4,,,,,,Carbon-coated,CVI,,700,12,,,,,400,,,,,,,,,,,,,,,,2.884,,,0.16,,500,,,,,,,,,439,,,1200,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,,,,,,,Carbon-coated,CVI,,700,12,,,,,3000,,,,,,,,,,,,,,,,2.9,,,0.22,,500,,,,,,,,,317,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,,,,,,,Carbon-coated,CVI,,700,12,,,,,3000,,,,,,,,,,,,,,,,2.9,,,0.22,,500,,,,,,,,,996,,,700,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,,,,,,,Carbon-coated,CVI,,700,12,,,,,3000,,,,,,,,,,,,,,,,2.9,,,0.22,,500,,,,,,,,,1019,,,950,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,,,,,,,Carbon-coated,CVI,,700,12,,,,,3000,,,,,,,,,,,,,,,,2.9,,,0.22,,500,,,,,,,,,385,,,1200,,,,,,,,
14,SiC,SiC,Hi-Nicalon,,PyC,1,0,0,,,,,,HA,,CVI,,1000,,,,,,150,35,,,,,,,0.14,,,,0.08,,360um,,2.95,,,0.46,,500,6.5,,,2.5,319,,,,900,350,0.62,,,,,,,http://dx.doi.org/10.1016%2Fj.jeurceramsoc.2013.08.027,AH,displacement rate of 50um/min
,SiC,SiC,Hi-Nicalon,,PyC,1,0,0,,,,,,LA,,CVI,,1000,,,,,,150,18,,,,,,,0.14,,,,0.1,,600 um,,2.95,,,0.46,,500,6.5,,,2.5,319,,,,1030,360,0.65,,,,,,,,,
,SiC,SiC,Tyranno-SA,,PyC,1,0,0,,,,,,HA,,CVI,,1000,,,,,,150,212,,,,,,,0.15,,,,0.09,,,,3.01,,,0.43,,800,5,,,2.4,312,,,,680,370,0.21,,,,,,,,,
,SiC,SiC,Tyranno-SA,,PyC,1,0,0,,,,,,LA,,CVI,,1000,,,,,,150,162,,,,,,,0.15,,,,0.08,,,,3.01,,,0.43,,800,5,,,2.4,312,,,,730,380,0.23,,,,,,,,,
15,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.742,3.2,,4.6,,,,,0.08,307 MPa,,,2.74,,3.5,0.258,,500,7,,,,270,,,,644,,0.45,Room Temperature,,,,,,https://doi.org/10.1016/j.jeurceramsoc.2015.06.001,AH,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.84,3.2,,4.6,,,,,,155 MPa,,,2.74,,3.5,0.16,,500,7,,,,270,,,,313.94,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.83,3.2,,4.6,,,,,,,,,2.74,,3.5,0.17,,500,7,,,,270,,,,427.88,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.81,3.2,,4.6,,,,,,,,,2.74,,3.5,0.19,,500,7,,,,270,,,,466.67,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.78,3.2,,4.6,,,,,,,,,2.74,,3.5,0.22,,500,7,,,,270,,,,607.27,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.77,3.2,,4.6,,,,,,,,,2.74,,3.5,0.23,,500,7,,,,270,,,,527.27,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.76,3.2,,4.6,,,,,,,,,2.74,,3.5,0.24,,500,7,,,,270,,,,272.73,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.72,3.2,,4.6,,,,,,,,,2.74,,3.5,0.28,,500,7,,,,270,,,,456.97,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.74,3.2,,4.6,,,,,,,,,2.74,,3.5,0.26,,500,7,,,,270,,,,643.64,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.59,3.2,,4.6,,,,,,,,,2.74,,3.5,0.41,,500,7,,,,270,,,,762.42,,,Room Temperature,,,,,,,,
,SiC,SiC,Hi-Nicalon,,BN,0,0,1,1,,,,,,,CVI,,94,32,,,,,1000,31,3.4 J/m^2,,0.57,3.2,,4.6,,,,,,327 MPa,,,2.74,,3.5,0.43,,500,7,,,,270,,,,677.58,,,Room Temperature,,,,,,,,
