PyC,SiC,BN,Fabrication Temperature ,Fabrication Time,Fiber Density,Number of Fibers per Tow,Fiber Volume Fractions,Fiber Radius,Fiber Modulus,Matrix Volume Fraction,Strength,Tensile Testing Temperature
1,0,0,1000,32.0,2.884,500.0,0.446,6.0,244.8,0.69,950.0,900.0
1,0,0,1000,32.0,2.884,500.0,0.66,6.5,354.0,0.34,1200.0,20.0
0,0,1,1060,32.0,2.252,400.0,0.27,6.396,195.0,0.73,664.76,20.0
0,0,1,1400,32.0,2.9,500.0,0.27,6.034000000000001,171.0,0.6379999999999999,310.798,20.0
1,0,0,1000,32.0,2.884,500.0,0.58,6.5,244.8,0.3,796.8,196.0
1,0,0,1000,32.0,2.252,500.0,0.46,6.5,319.0,0.54,1061.0,196.0
1,0,0,1000,32.0,2.252,500.0,0.46,7.5,319.0,0.54,898.0,196.0
1,0,0,1100,32.0,2.884,500.0,0.218,7.7,165.0,0.728,498.0,20.0
1,0,0,1100,32.0,2.884,500.0,0.218,7.7,165.0,0.728,436.0,800.0
1,0,0,1100,12.0,2.884,500.0,0.16,6.714,234.0,0.6212,317.0,20.0
1,0,0,1100,12.0,2.884,500.0,0.16,6.714,234.0,0.6212,1099.0,700.0
1,0,0,700,12.0,2.884,500.0,0.16,7.18,244.8,0.7516,655.0,950.0
1,0,0,700,12.0,2.884,500.0,0.16,7.18,244.8,0.7516,439.0,1200.0
1,0,0,700,12.0,2.9,500.0,0.22,7.18,244.8,0.7516,317.0,20.0
1,0,0,700,12.0,2.9,500.0,0.22,7.18,244.8,0.7516,996.0,700.0
0,0,1,700,12.0,2.9,500.0,0.22,6.534000000000001,290.8,0.716,1019.0,950.0
0,0,1,700,12.0,2.9,500.0,0.22,6.534000000000001,290.8,0.716,385.0,1200.0
0,0,1,700,32.0,2.95,500.0,0.46,6.5,319.0,0.716,900.0,1000.0
0,0,1,700,32.0,2.95,500.0,0.46,6.5,319.0,0.716,1030.0,1000.0
1,0,0,1000,32.0,3.01,800.0,0.43,5.0,312.0,0.7516,680.0,196.0
1,0,0,1000,32.0,3.01,800.0,0.43,5.0,312.0,0.7516,730.0,196.0
1,0,0,1000,32.0,2.74,500.0,0.258,7.0,270.0,1.0,644.0,20.0
1,0,0,1000,32.0,2.74,500.0,0.16,7.0,270.0,1.0,313.94,20.0
0,0,1,94,32.0,2.74,500.0,0.17,7.0,270.0,1.0,427.88,20.0
0,0,1,94,32.0,2.74,500.0,0.19,7.0,270.0,1.0,466.67,20.0
0,0,1,94,32.0,2.74,500.0,0.22,7.0,270.0,1.0,607.27,20.0
0,0,1,94,32.0,2.74,500.0,0.23,7.0,270.0,1.0,527.27,20.0
0,0,1,94,32.0,2.74,500.0,0.24,7.0,270.0,1.0,272.73,20.0
0,0,1,94,32.0,2.74,500.0,0.28,7.0,270.0,1.0,456.97,20.0
0,0,1,94,32.0,2.74,500.0,0.26,7.0,270.0,1.0,643.64,20.0
0,0,1,94,32.0,2.74,500.0,0.41,7.0,270.0,1.0,762.42,20.0
